compound,auid,aurl,aurl_http,spacegroup_relax,Pearson_symbol_relax,species
C2,aflow:a6796d03f4525c64,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSc_sv/117/117.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSc_sv/117,194.0,hP2,['C']
C1,aflow:a6c5c2bcfb607785,https://aflowlib.duke.edu/08Apr2002/A6/A6.cif,https://aflowlib.duke.edu/08Apr2002/A6,139.0,tI2,['C']
C1,aflow:a7d6d8978e638fff,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSb/f1/f1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSb/f1,225.0,cF4,['C']
C2,aflow:a73cc7cd84bf7c7b,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/AgC/306/306.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/AgC/306,227.0,cF8,['C']
C4,aflow:a7fb34b355f102d7,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSc_sv/317/317.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSc_sv/317,67.0,oS4,['C']
C2,aflow:a7860c52d9f3b8dc,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Be_svC/A7.B/A7.B.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Be_svC/A7.B,227.0,cF8,['C']
C2,aflow:a7801455b4dae832,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CHg/A7.A/A7.A.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CHg/A7.A,227.0,cF8,['C']
C1,aflow:a7237e06e40cacdc,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/AsC/58/58.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/AsC/58,229.0,cI2,['C']
C2,aflow:a987ac11c9c7caa7,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRu_pv/305/305.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRu_pv/305,227.0,cF8,['C']
C2,aflow:a9f2f962a596a216,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CP/h1/h1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CP/h1,194.0,hP2,['C']
C2,aflow:a903e3d8c138c266,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CK_sv/305/305.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CK_sv/305,227.0,cF8,['C']
C1,aflow:a9ef0cadf06fbf25,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCo/59/59.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCo/59,229.0,cI2,['C']
C2,aflow:a992c2cded518b84,https://aflowlib.duke.edu/08Apr2002/A3/A3.cif,https://aflowlib.duke.edu/08Apr2002/A3,194.0,hP2,['C']
C4,aflow:a9f7b443403b2574,https://aflowlib.duke.edu/01Apr2000/A9/A9.cif,https://aflowlib.duke.edu/01Apr2000/A9,194.0,hP4,['C']
C1,aflow:aa40ea32788c43c1,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/COs_pv/2/2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/COs_pv/2,225.0,cF4,['C']
C8,aflow:aac7fc1feea7d573,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/BCC/C1_ICSD_88820/C1_ICSD_88820.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/BCC/C1_ICSD_88820,206.0,cI16,['C']
